county,lat,lon,an_2002,po_2002,pc_2002,an_2003,po_2003,pc_2003,an_2004,po_2004,pc_2004,an_2005,po_2005,pc_2005,an_2006,po_2006,pc_2006,an_2007,po_2007,pc_2007,an_2008,po_2008,pc_2008,an_2009,po_2009,pc_2009,an_2010,po_2010,pc_2010,an_2011,po_2011,pc_2011,an_2012,po_2012,pc_2012,an_2013,po_2013,pc_2013,an_2014,po_2014,pc_2014,an_2015,po_2015,pc_2015,an_2016,po_2016,pc_2016,an_2017,po_2017,pc_2017,an_2018,po_2018,pc_2018,an_2019,po_2019,pc_2019,an_2020,po_2020,pc_2020
Manitowoc,44.156137,-87.78,5,0.00001,0.00001,1567,143,0.091257179,0.00001,0.00001,0.00001,2,0.00001,0.00001,19,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,59,1,0.016949153,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,4,0.00001,0.00001,13,0.00001,0.00001,2,0.00001,0.00001,3,0.00001,0.00001
Marathon,44.8980363,-89.757823,1,0.00001,0.00001,0.00001,0.00001,0.00001,9,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,75,0.00001,0.00001,5,0.00001,0.00001,607,9,0.014827018,335,14,0.041791045,1,0.00001,0.00001,823,26,0.031591738,2,0.00001,0.00001,3,0.00001,0.00001,25,0.00001,0.00001,5,0.00001,0.00001,34,0.00001,0.00001,1,0.00001,0.00001,233,1,0.004291845,1,1,1
Marinette,45.3468989,-87.991198,1,0.00001,0.00001,16,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,20,0.00001,0.00001,16,0.00001,0.00001,98,1,0.010204082,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,147,0.00001,0.00001,0.00001,0.00001,0.00001,13,0.00001,0.00001,2,0.00001,0.00001,210,0.00001,0.00001,30,0.00001,0.00001,83,4,0.048192771,21,0.00001,0.00001,714,45,0.06302521
Marquette,43.8260529,-89.4090953,123,0.00001,0.00001,4,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,145,3,0.020689655,66,2,0.03030303,4,0.00001,0.00001,1330,190,0.142857143,59,0.00001,0.00001,48,5,0.104166667,54,1,0.018518519,113,0.00001,0.00001,2,0.00001,0.00001,3,0.00001,0.00001,33,0.00001,0.00001,1,0.00001,0.00001,12,0.00001,0.00001,2,0.00001,0.00001
Menominee,44.9913041,-88.6692512,0.00001,0.00001,0.00001,10,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,11,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001
Milwaukee,43.0176601,-87.9,10,0.00001,0.00001,94,1,0.010638298,15,0.00001,0.00001,117,1,0.008547009,592,18,0.030405405,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,322,12,0.037267081,19,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,909,47,0.051705171,0.00001,0.00001,0.00001,47,0.00001,0.00001,1,0.00001,0.00001,5,0.00001,0.00001,2,0.00001,0.00001,5,1,0.2,32,0.00001,0.00001
Monroe,43.9451751,-90.6199687,3,0.00001,0.00001,274,6,0.02189781,688,0.00001,0.00001,3,0.00001,0.00001,47,2,0.042553191,3,0.00001,0.00001,4,0.00001,0.00001,40,0.00001,0.00001,256,1,0.00390625,16,0.00001,0.00001,65,0.00001,0.00001,17,0.00001,0.00001,1,0.00001,0.00001,6,0.00001,0.00001,129,0.00001,0.00001,1,0.00001,0.00001,21,0.00001,0.00001,78,5,0.064102564,114,0.00001,0.00001
Oconto,44.9965754,-88.2065162,705,53,0.075177305,173,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,5,0.00001,0.00001,350,3,0.008571429,168,4,0.023809524,0.00001,0.00001,0.00001,1,0.00001,0.00001,1591,226,0.142049026,60,0.00001,0.00001,34,0.00001,0.00001,87,0.00001,0.00001,2,0.00001,0.00001,97,3,0.030927835,1,0.00001,0.00001,90,0.00001,0.00001,5,0.00001,0.00001
Oneida,45.7161762,-89.5345333,1,0.00001,0.00001,4,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,8,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,16,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,256,3,0.01171875,23,0.00001,0.00001,1,0.00001,0.00001,227,10,0.044052863,403,7,0.017369727,7,0.00001,0.00001
Outagamie,44.4182258,-88.4649883,1,0.00001,0.00001,548,39,0.071167883,29,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,222,0.00001,0.00001,2,0.00001,0.00001,140,3,0.021428571,345,0.00001,0.00001,84,0.00001,0.00001,0.00001,0.00001,0.00001,125,0.00001,0.00001,32,0.00001,0.00001,25,0.00001,0.00001,1,0.00001,0.00001,70,0.00001,0.00001,274,2,0.00729927
Ozaukee,43.3607524,-87.88,72,0.00001,0.00001,3,0.00001,0.00001,5,0.00001,0.00001,98,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,284,3,0.01056338,59,0.00001,0.00001,760,50,0.065789474,29,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,125,3,0.024,53,2,0.037735849,1,0.00001,0.00001
Pepin,44.6274362,-91.8348898,1124,181,0.161032028,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,5,0.00001,0.00001,141,2,0.014184397,0.00001,0.00001,0.00001,74,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,6,0.00001,0.00001,0.00001,0.00001,0.00001,50,4,0.08,1,0.00001,0.00001,285,0.00001,0.00001,2,0.00001,0.00001,17,0.00001,0.00001,11,0.00001,0.00001
Pierce,44.7253365,-92.4262793,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,6,0.00001,0.00001,212,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,256,13,0.05078125,0.00001,0.00001,0.00001,223,5,0.022421525,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,564,63,0.111702128,49,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,4,0.00001,0.00001
Polk,45.4620407,-92.447066,208,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,83,2,0.024096386,264,0.00001,0.00001,5,0.00001,0.00001,22,1,0.045454545,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,29,0.00001,0.00001,12,0.00001,0.00001,2,0.00001,0.00001,34,0.00001,0.00001,167,2,0.011976048,13,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,21,0.00001,0.00001,3,0.00001,0.00001
Portage,44.4762457,-89.4980699,8,0.00001,0.00001,92,1,0.010869565,29,1,0.034482759,375,34,0.090666667,7,0.00001,0.00001,4,0.00001,0.00001,60,0.00001,0.00001,93,2,0.021505376,35,3,0.085714286,45,0.00001,0.00001,662,152,0.229607251,2,0.00001,0.00001,11,0.00001,0.00001,16,0.00001,0.00001,96,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,36,2,0.055555556,2,0.00001,0.00001
Price,45.6790725,-90.3596497,0.00001,0.00001,0.00001,79,0.00001,0.00001,4,0.00001,0.00001,53,0.00001,0.00001,1,0.00001,0.00001,19,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,13,0.00001,0.00001,124,0.00001,0.00001,3,0.00001,0.00001,2,0.00001,0.00001
Racine,42.7541215,-88.02,377,37,0.098143236,31,1,0.032258065,3,0.00001,0.00001,317,63,0.19873817,1,0.00001,0.00001,12,0.00001,0.00001,1,0.00001,0.00001,6,0.00001,0.00001,2,0.00001,0.00001,47,0.00001,0.00001,10,1,0.1,132,0.00001,0.00001,7,0.00001,0.00001,30,1,0.033333333,5,0.00001,0.00001,26,0.00001,0.00001,2,0.00001,0.00001,43,0.00001,0.00001,343,4,0.011661808
Richland,43.3761994,-90.4356927,1,0.00001,0.00001,61,0.00001,0.00001,5,0.00001,0.00001,5,0.00001,0.00001,2,0.00001,0.00001,124,0.00001,0.00001,9,0.00001,0.00001,86,0.00001,0.00001,153,9,0.058823529,122,1,0.008196721,561,41,0.073083779,13,0.00001,0.00001,3,0.00001,0.00001,6,0.00001,0.00001,4,0.00001,0.00001,124,0.00001,0.00001,3,0.00001,0.00001,2,0.00001,0.00001,10,0.00001,0.00001
Rock,42.6698802,-89.0752844,262,5,0.019083969,69,6,0.086956522,28,0.00001,0.00001,879,220,0.250284414,2,0.00001,0.00001,108,0.00001,0.00001,25,1,0.04,256,0.00001,0.00001,5,0.00001,0.00001,1,0.00001,0.00001,8,0.00001,0.00001,66,4,0.060606061,7,0.00001,0.00001,13,0.00001,0.00001,69,0.00001,0.00001,8,0.00001,0.00001,49,0.00001,0.00001,3,0.00001,0.00001,58,0.00001,0.00001
Rusk,45.472734,-91.1367448,73,0.00001,0.00001,68,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,121,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,187,0.00001,0.00001,163,1,0.006134969,3,0.00001,0.00001,11,0.00001,0.00001,470,61,0.129787234,80,5,0.0625
St. Croix,45.0289589,-92.4472842,3,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,442,90,0.20361991,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,5,0.00001,0.00001,33,0.00001,0.00001,4,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,10,0.00001,0.00001,2,0.00001,0.00001,288,0.00001,0.00001,75,0.00001,0.00001,55,0.00001,0.00001
Sauk,43.428001,-89.9433184,191,0.00001,0.00001,86,0.00001,0.00001,115,0.00001,0.00001,16,0.00001,0.00001,25,0.00001,0.00001,2,0.00001,0.00001,47,0.00001,0.00001,341,7,0.020527859,3,0.00001,0.00001,85,0.00001,0.00001,13,0.00001,0.00001,12,0.00001,0.00001,17,0.00001,0.00001,128,0.00001,0.00001,10,0.00001,0.00001,19,0.00001,0.00001,136,0.00001,0.00001,264,12,0.045454545,226,2,0.008849558
Sawyer,45.8649127,-91.1471302,678,69,0.101769912,166,1,0.006024096,13,0.00001,0.00001,11,0.00001,0.00001,32,0.00001,0.00001,91,1,0.010989011,19,0.00001,0.00001,54,0.00001,0.00001,15,0.00001,0.00001,378,12,0.031746032,91,9,0.098901099,56,0.00001,0.00001,0.00001,0.00001,0.00001,1080,250,0.231481481,11,0.00001,0.00001,154,0.00001,0.00001,79,0.00001,0.00001,255,2,0.007843137,11,0.00001,0.00001
Shawano,44.7896407,-88.7558134,6,0.00001,0.00001,68,0.00001,0.00001,105,7,0.066666667,31,0.00001,0.00001,47,1,0.021276596,0.00001,0.00001,0.00001,10,0.00001,0.00001,301,0.00001,0.00001,24,0.00001,0.00001,0.00001,0.00001,0.00001,92,0.00001,0.00001,22,0.00001,0.00001,62,1,0.016129032,299,0.00001,0.00001,107,0.00001,0.00001,200,1,0.005,10,0.00001,0.00001,45,0.00001,0.00001,13,0.00001,0.00001
Sheboygan,43.741232,-87.9,5,0.00001,0.00001,110,0.00001,0.00001,382,0.00001,0.00001,23,0.00001,0.00001,25,0.00001,0.00001,855,87,0.101754386,0.00001,0.00001,0.00001,99,5,0.050505051,18,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,5,0.00001,0.00001,622,130,0.209003215,20,0.00001,0.00001,227,0.00001,0.00001
Taylor,45.2116558,-90.5048529,84,0.00001,0.00001,17,0.00001,0.00001,46,0.00001,0.00001,10,0.00001,0.00001,477,3,0.006289308,106,0.00001,0.00001,75,1,0.013333333,151,0.00001,0.00001,84,0.00001,0.00001,146,2,0.01369863,181,0.00001,0.00001,0.00001,0.00001,0.00001,114,0.00001,0.00001,7,0.00001,0.00001,112,0.00001,0.00001,360,12,0.033333333,8,0.00001,0.00001,77,0.00001,0.00001,62,0.00001,0.00001
Trempealeau,44.3030501,-91.3588668,12,0.00001,0.00001,441,0.00001,0.00001,64,0.00001,0.00001,23,0.00001,0.00001,199,0.00001,0.00001,224,0.00001,0.00001,555,38,0.068468468,397,9,0.022670025,0.00001,0.00001,0.00001,1089,124,0.113865932,217,3,0.013824885,11,0.00001,0.00001,21,0.00001,0.00001,376,0.00001,0.00001,343,2,0.005830904,181,0.00001,0.00001,29,0.00001,0.00001,84,0.00001,0.00001,587,43,0.073253833
Unknown,43.4,-87.25,140,9,0.064285714,50,0.00001,0.00001,1505,397,0.263787375,16,0.00001,0.00001,219,0.00001,0.00001,131,1,0.007633588,374,5,0.013368984,22,0.00001,0.00001,12,0.00001,0.00001,165,0.00001,0.00001,157,21,0.133757962,122,0.00001,0.00001,419,0.00001,0.00001,31,0.00001,0.00001,356,0.00001,0.00001,193,0.00001,0.00001,127,1,0.007874016,9,0.00001,0.00001,85,0.00001,0.00001
Vernon,43.5993661,-90.8219835,562,0.00001,0.00001,113,0.00001,0.00001,596,1,0.001677852,13,0.00001,0.00001,49,0.00001,0.00001,79,0.00001,0.00001,299,0.00001,0.00001,118,0.00001,0.00001,362,2,0.005524862,52,0.00001,0.00001,35,0.00001,0.00001,1393,187,0.134242642,101,5,0.04950495,47,0.00001,0.00001,202,0.00001,0.00001,946,187,0.197674419,36,0.00001,0.00001,247,0.00001,0.00001,77,0.00001,0.00001
Vilas,46.049848,-89.501254,44,0.00001,0.00001,238,0.00001,0.00001,22,0.00001,0.00001,751,11,0.014647137,296,0.00001,0.00001,68,3,0.044117647,126,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,155,0.00001,0.00001,252,3,0.011904762,179,0.00001,0.00001,126,0.00001,0.00001,0.00001,0.00001,0.00001,14,0.00001,0.00001,124,0.00001,0.00001,361,6,0.016620499,37,0.00001,0.00001,179,0.00001,0.00001
Walworth,42.6681095,-88.5417306,190,0.00001,0.00001,36,0.00001,0.00001,422,0.00001,0.00001,241,0.00001,0.00001,14,0.00001,0.00001,215,0.00001,0.00001,222,0.00001,0.00001,629,66,0.104928458,446,3,0.006726457,1157,154,0.133102852,168,0.00001,0.00001,19,0.00001,0.00001,152,0.00001,0.00001,454,1,0.002202643,385,3,0.007792208,153,0.00001,0.00001,39,0.00001,0.00001,56,0.00001,0.00001,672,61,0.09077381
Washburn,45.8924885,-91.7964217,149,24,0.161073826,126,0.00001,0.00001,1491,419,0.28101945,0.00001,0.00001,0.00001,68,0.00001,0.00001,183,0.00001,0.00001,161,3,0.01863354,0.00001,0.00001,0.00001,375,12,0.032,24,0.00001,0.00001,21,0.00001,0.00001,175,0.00001,0.00001,215,28,0.130232558,136,0.00001,0.00001,282,0.00001,0.00001,46,0.00001,0.00001,418,1,0.002392344,289,0.00001,0.00001,370,2,0.005405405
Washington,43.391156,-88.2329166,8,0.00001,0.00001,81,0.00001,0.00001,438,0.00001,0.00001,157,0.00001,0.00001,470,2,0.004255319,45,0.00001,0.00001,0.00001,0.00001,0.00001,65,0.00001,0.00001,0.00001,0.00001,0.00001,77,0.00001,0.00001,56,0.00001,0.00001,222,0.00001,0.00001,429,1,0.002331002,275,0.00001,0.00001,43,0.00001,0.00001,1458,246,0.16872428,138,15,0.108695652,146,0.00001,0.00001,143,0.00001,0.00001
Waukesha,43.0183677,-88.3042404,1006,262,0.260437376,183,0.00001,0.00001,281,0.00001,0.00001,170,1,0.005882353,104,0.00001,0.00001,270,0.00001,0.00001,20,1,0.05,800,8,0.01,175,0.00001,0.00001,133,10,0.07518797,214,0.00001,0.00001,193,0.00001,0.00001,331,9,0.027190332,198,0.00001,0.00001,110,0.00001,0.00001,24,0.00001,0.00001,128,0.00001,0.00001,362,12,0.033149171,25,0.00001,0.00001
Waupaca,44.4780043,-88.9670053,144,0.00001,0.00001,154,0.00001,0.00001,163,0.00001,0.00001,220,0.00001,0.00001,231,0.00001,0.00001,49,0.00001,0.00001,145,0.00001,0.00001,132,0.00001,0.00001,569,80,0.14059754,446,17,0.038116592,1257,214,0.170246619,169,1,0.00591716,60,0.00001,0.00001,150,0.00001,0.00001,412,2,0.004854369,285,4,0.014035088,37,0.00001,0.00001,107,0.00001,0.00001,32,0.00001,0.00001
Waushara,44.1128231,-89.2397862,619,70,0.113085622,220,38,0.172727273,154,0.00001,0.00001,1612,464,0.287841191,56,0.00001,0.00001,162,0.00001,0.00001,136,5,0.036764706,406,8,0.019704433,22,0.00001,0.00001,82,0.00001,0.00001,143,0.00001,0.00001,212,35,0.16509434,117,0.00001,0.00001,217,0.00001,0.00001,115,0.00001,0.00001,480,0.00001,0.00001,236,0.00001,0.00001,490,0.00001,0.00001,17,0.00001,0.00001
Winnebago,44.0857068,-88.6681488,34,0.00001,0.00001,349,0.00001,0.00001,212,0.00001,0.00001,482,0.00001,0.00001,85,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,59,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,53,0.00001,0.00001,76,0.00001,0.00001,202,0.00001,0.00001,424,0.00001,0.00001,59,0.00001,0.00001,29,0.00001,0.00001,1552,304,0.195876289,134,13,0.097014925
Wood,44.4614126,-90.0388252,71,0.00001,0.00001,89,0.00001,0.00001,1068,279,0.261235955,87,0.00001,0.00001,373,1,0.002680965,270,0.00001,0.00001,94,0.00001,0.00001,193,0.00001,0.00001,34,1,0.029411765,733,15,0.020463847,184,0.00001,0.00001,98,7,0.071428571,196,0.00001,0.00001,159,1,0.006289308,251,6,0.023904382,245,0.00001,0.00001,216,0.00001,0.00001,43,0.00001,0.00001,102,1,0.009803922
